

=== update_days = 60 ===

-- entry=0.1, exit=0.1 --
        mean       vol    sharpe  hit_rate  turnover  Holding Time train_start  train_end test_start   test_end
21  0.006600  0.124173  0.053148  0.510929  0.143273    209.390472  2021-06-14 2023-06-13 2023-06-14 2024-06-13
22 -0.023185  0.133655 -0.173472  0.497268  0.140218    213.952823  2021-08-13 2023-08-12 2023-08-13 2024-08-12

-- entry=0.2, exit=0.1 --
        mean       vol    sharpe  hit_rate  turnover  Holding Time train_start  train_end test_start   test_end
0   0.069763  0.174740  0.399241  0.471033  0.122596    244.705371  2018-01-01 2019-12-31 2020-01-01 2020-12-31
1   0.167276  0.222943  0.750305  0.464646  0.113150    265.134561  2018-03-02 2020-03-01 2020-03-02 2021-03-01
2  -0.270651  0.217204 -1.246070  0.443836  0.130969    229.061149  2018-05-01 2020-04-30 2020-05-01 2021-04-30
3   0.325337  0.225123  1.445148  0.545205  0.144353    207.823429  2018-06-30 2020-06-29 2020-06-30 2021-06-29
4   0.005294  0.226613  0.023363  0.487671  0.154527    194.140312  2018-08-29 2020-08-28 2020-08-29 2021-08-28
5   0.566817  0.296038  1.914679  0.561644  0.152278    197.008738  2018-10-28 2020-10-27 2020-10-28 2021-10-27
6   0.356836  0.349796  1.020126  0.504110  0.191658    156.529111  2018-12-27 2020-12-26 2020-12-27 2021-12-26
7   0.001359  0.195538  0.006952  0.517808  0.145869    205.664193  2019-02-25 2021-02-24 2021-02-25 2022-02-24
8   0.053111  0.164454  0.322956  0.512329  0.143435    209.153784  2019-04-26 2021-04-25 2021-04-26 2022-04-25
9   0.197359  0.167812  1.176070  0.520548  0.141179    212.496641  2019-06-25 2021-06-24 2021-06-25 2022-06-24
10  0.204460  0.221652  0.922438  0.476712  0.133690    224.400369  2019-08-24 2021-08-23 2021-08-24 2022-08-23
11 -0.108152  0.135111 -0.800467  0.426768  0.122588    244.722900  2019-10-23 2021-10-22 2021-10-23 2022-10-22
12  0.178401  0.119470  1.493273  0.502525  0.136233    220.211132  2019-12-22 2021-12-21 2021-12-22 2022-12-21
13  0.054348  0.130913  0.415145  0.469697  0.133735    224.324823  2020-02-20 2022-02-19 2022-02-20 2023-02-19
14  0.445693  0.174166  2.559019  0.512626  0.129803    231.118602  2020-04-20 2022-04-19 2022-04-20 2023-04-19
15  0.333360  0.168242  1.981439  0.497475  0.141333    212.265230  2020-06-19 2022-06-18 2022-06-19 2023-06-18
16  0.380326  0.203289  1.870861  0.517677  0.135888    220.770046  2020-08-18 2022-08-17 2022-08-18 2023-08-17
17  0.093024  0.098577  0.943663  0.515152  0.124390    241.176503  2020-10-17 2022-10-16 2022-10-17 2023-10-16
18 -0.025767  0.141717 -0.181821  0.515068  0.131134    228.773519  2020-12-16 2022-12-15 2022-12-16 2023-12-15
19 -0.039004  0.143435 -0.271928  0.476712  0.136934    219.084046  2021-02-14 2023-02-13 2023-02-14 2024-02-13
20  0.102964  0.142445  0.722836  0.500000  0.128057    234.271531  2021-04-15 2023-04-14 2023-04-15 2024-04-14
21 -0.003588  0.098854 -0.036300  0.489071  0.111285    269.579231  2021-06-14 2023-06-13 2023-06-14 2024-06-13
22 -0.043380  0.095081 -0.456247  0.494536  0.113961    263.248320  2021-08-13 2023-08-12 2023-08-13 2024-08-12

-- entry=0.2, exit=0.2 --
        mean       vol    sharpe  hit_rate  turnover  Holding Time train_start  train_end test_start   test_end
0   0.047311  0.177073  0.267186  0.468514  0.093883    319.546371  2018-01-01 2019-12-31 2020-01-01 2020-12-31
1   0.153963  0.224423  0.686036  0.482323  0.093278    321.620057  2018-03-02 2020-03-01 2020-03-02 2021-03-01
2  -0.299680  0.219525 -1.365126  0.452055  0.100017    299.948526  2018-05-01 2020-04-30 2020-05-01 2021-04-30
3   0.327577  0.226714  1.444893  0.550685  0.120422    249.124483  2018-06-30 2020-06-29 2020-06-30 2021-06-29
4  -0.011000  0.230894 -0.047642  0.490411  0.127953    234.461234  2018-08-29 2020-08-28 2020-08-29 2021-08-28
5   0.619088  0.303025  2.043027  0.547945  0.128067    234.252904  2018-10-28 2020-10-27 2020-10-28 2021-10-27
6   0.511734  0.360948  1.417750  0.512329  0.168826    177.697630  2018-12-27 2020-12-26 2020-12-27 2021-12-26
7   0.002278  0.197563  0.011532  0.523288  0.125894    238.295015  2019-02-25 2021-02-24 2021-02-25 2022-02-24
8   0.111248  0.177555  0.626555  0.534247  0.118513    253.136833  2019-04-26 2021-04-25 2021-04-26 2022-04-25
9   0.200608  0.173636  1.155332  0.509589  0.111109    270.006086  2019-06-25 2021-06-24 2021-06-25 2022-06-24
10  0.215272  0.232766  0.924839  0.490411  0.105050    285.579170  2019-08-24 2021-08-23 2021-08-24 2022-08-23
11 -0.047605  0.139548 -0.341136  0.431818  0.098841    303.518014  2019-10-23 2021-10-22 2021-10-23 2022-10-22
12  0.236115  0.121340  1.945890  0.505051  0.111743    268.473018  2019-12-22 2021-12-21 2021-12-22 2022-12-21
13  0.100018  0.135591  0.737646  0.484848  0.112622    266.377771  2020-02-20 2022-02-19 2022-02-20 2023-02-19
14  0.490668  0.175284  2.799275  0.515152  0.107569    278.889829  2020-04-20 2022-04-19 2022-04-20 2023-04-19
15  0.401240  0.170209  2.357334  0.510101  0.112047    267.743774  2020-06-19 2022-06-18 2022-06-19 2023-06-18
16  0.415894  0.205901  2.019874  0.517677  0.111232    269.706905  2020-08-18 2022-08-17 2022-08-18 2023-08-17
17  0.098900  0.099971  0.989288  0.505051  0.101085    296.781358  2020-10-17 2022-10-16 2022-10-17 2023-10-16
18 -0.005960  0.147909 -0.040294  0.512329  0.104287    287.666825  2020-12-16 2022-12-15 2022-12-16 2023-12-15
19 -0.023627  0.147987 -0.159658  0.471233  0.109940    272.875370  2021-02-14 2023-02-13 2023-02-14 2024-02-13
20  0.130944  0.148648  0.880902  0.502732  0.096397    311.212057  2021-04-15 2023-04-14 2023-04-15 2024-04-14
21  0.012625  0.102564  0.123093  0.497268  0.086275    347.724233  2021-06-14 2023-06-13 2023-06-14 2024-06-13
22 -0.030234  0.097387 -0.310448  0.505464  0.093018    322.519662  2021-08-13 2023-08-12 2023-08-13 2024-08-12

-- entry=0.2, exit=0.5 --
        mean       vol    sharpe  hit_rate  turnover  Holding Time train_start  train_end test_start   test_end
0   0.051614  0.195810  0.263594  0.443325  0.110767    270.838089  2018-01-01 2019-12-31 2020-01-01 2020-12-31
1   0.117386  0.247416  0.474448  0.446970  0.116221    258.129851  2018-03-02 2020-03-01 2020-03-02 2021-03-01
2  -0.273623  0.236818 -1.155417  0.468493  0.118461    253.248292  2018-05-01 2020-04-30 2020-05-01 2021-04-30
3   0.243024  0.253306  0.959410  0.547945  0.131607    227.951577  2018-06-30 2020-06-29 2020-06-30 2021-06-29
4   0.023105  0.252076  0.091658  0.523288  0.150176    199.765686  2018-08-29 2020-08-28 2020-08-29 2021-08-28
5   0.822974  0.325248  2.530292  0.542466  0.160212    187.252141  2018-10-28 2020-10-27 2020-10-28 2021-10-27
6   0.565407  0.388778  1.454317  0.515068  0.199501    150.374977  2018-12-27 2020-12-26 2020-12-27 2021-12-26
7   0.046747  0.214693  0.217738  0.515068  0.143552    208.983017  2019-02-25 2021-02-24 2021-02-25 2022-02-24
8   0.180040  0.210239  0.856360  0.534247  0.136209    220.249205  2019-04-26 2021-04-25 2021-04-26 2022-04-25
9   0.289865  0.208054  1.393220  0.528767  0.133064    225.455614  2019-06-25 2021-06-24 2021-06-25 2022-06-24
10  0.327884  0.285004  1.150453  0.520548  0.127132    235.975306  2019-08-24 2021-08-23 2021-08-24 2022-08-23
11 -0.030396  0.158647 -0.191596  0.452020  0.115259    260.284192  2019-10-23 2021-10-22 2021-10-23 2022-10-22
12  0.301734  0.132215  2.282138  0.527778  0.126291    237.546350  2019-12-22 2021-12-21 2021-12-22 2022-12-21
13  0.108408  0.147537  0.734787  0.472222  0.132227    226.883214  2020-02-20 2022-02-19 2022-02-20 2023-02-19
14  0.520772  0.200053  2.603171  0.500000  0.128585    233.308586  2020-04-20 2022-04-19 2022-04-20 2023-04-19
15  0.484881  0.193554  2.505146  0.525253  0.130781    229.391749  2020-06-19 2022-06-18 2022-06-19 2023-06-18
16  0.446454  0.230427  1.937507  0.512626  0.132992    225.577737  2020-08-18 2022-08-17 2022-08-18 2023-08-17
17  0.109287  0.107985  1.012053  0.520202  0.119622    250.789795  2020-10-17 2022-10-16 2022-10-17 2023-10-16
18 -0.049215  0.160641 -0.306367  0.517808  0.124581    240.806897  2020-12-16 2022-12-15 2022-12-16 2023-12-15
19 -0.062327  0.160369 -0.388649  0.473973  0.123341    243.228944  2021-02-14 2023-02-13 2023-02-14 2024-02-13
20  0.177606  0.159934  1.110493  0.510929  0.115926    258.786574  2021-04-15 2023-04-14 2023-04-15 2024-04-14
21 -0.011179  0.104057 -0.107432  0.502732  0.097641    307.248949  2021-06-14 2023-06-13 2023-06-14 2024-06-13
22 -0.035342  0.107886 -0.327584  0.510929  0.104332    287.544582  2021-08-13 2023-08-12 2023-08-13 2024-08-12

-- entry=0.2, exit=0.7 --
        mean       vol    sharpe  hit_rate  turnover  Holding Time train_start  train_end test_start   test_end
0   0.061397  0.211455  0.290356  0.465995  0.122645    244.608105  2018-01-01 2019-12-31 2020-01-01 2020-12-31
1   0.094717  0.266585  0.355296  0.446970  0.127323    235.621663  2018-03-02 2020-03-01 2020-03-02 2021-03-01
2  -0.267068  0.259053 -1.030937  0.460274  0.134095    223.722626  2018-05-01 2020-04-30 2020-05-01 2021-04-30
3   0.265511  0.270390  0.981957  0.550685  0.146324    205.025086  2018-06-30 2020-06-29 2020-06-30 2021-06-29
4  -0.054520  0.273260 -0.199517  0.523288  0.159436    188.162893  2018-08-29 2020-08-28 2020-08-29 2021-08-28
5   0.794080  0.355220  2.235463  0.545205  0.184309    162.769902  2018-10-28 2020-10-27 2020-10-28 2021-10-27
6   0.466789  0.412551  1.131470  0.534247  0.242681    123.618927  2018-12-27 2020-12-26 2020-12-27 2021-12-26
7   0.074893  0.235491  0.318031  0.534247  0.169749    176.731404  2019-02-25 2021-02-24 2021-02-25 2022-02-24
8   0.174188  0.229187  0.760023  0.526027  0.156908    191.194888  2019-04-26 2021-04-25 2021-04-26 2022-04-25
9   0.299652  0.240531  1.245795  0.517808  0.153850    194.994825  2019-06-25 2021-06-24 2021-06-25 2022-06-24
10  0.350146  0.313906  1.115449  0.504110  0.146471    204.818863  2019-08-24 2021-08-23 2021-08-24 2022-08-23
11 -0.016467  0.167328 -0.098413  0.449495  0.127507    235.280584  2019-10-23 2021-10-22 2021-10-23 2022-10-22
12  0.364552  0.135121  2.697966  0.547980  0.140103    214.127848  2019-12-22 2021-12-21 2021-12-22 2022-12-21
13  0.183483  0.151053  1.214693  0.500000  0.141891    211.429947  2020-02-20 2022-02-19 2022-02-20 2023-02-19
14  0.633033  0.222422  2.846087  0.489899  0.138852    216.057847  2020-04-20 2022-04-19 2022-04-20 2023-04-19
15  0.550574  0.214990  2.560924  0.520202  0.135620    221.205687  2020-06-19 2022-06-18 2022-06-19 2023-06-18
16  0.582518  0.251649  2.314801  0.510101  0.137918    217.520208  2020-08-18 2022-08-17 2022-08-18 2023-08-17
17  0.139021  0.119979  1.158715  0.522727  0.124321    241.310439  2020-10-17 2022-10-16 2022-10-17 2023-10-16
18 -0.028691  0.181332 -0.158222  0.531507  0.134761    222.616599  2020-12-16 2022-12-15 2022-12-16 2023-12-15
19 -0.065048  0.174916 -0.371882  0.479452  0.135065    222.115843  2021-02-14 2023-02-13 2023-02-14 2024-02-13
20  0.121512  0.160710  0.756096  0.510929  0.128680    233.136681  2021-04-15 2023-04-14 2023-04-15 2024-04-14
21  0.016056  0.110452  0.145365  0.510929  0.112739    266.100982  2021-06-14 2023-06-13 2023-06-14 2024-06-13
22 -0.042983  0.117404 -0.366114  0.510929  0.117769    254.736435  2021-08-13 2023-08-12 2023-08-13 2024-08-12

-- entry=0.2, exit=1 --
        mean       vol    sharpe  hit_rate  turnover  Holding Time train_start  train_end test_start   test_end
0   0.178677  0.252239  0.708365  0.463476  0.140021    214.253497  2018-01-01 2019-12-31 2020-01-01 2020-12-31
1   0.162196  0.304688  0.532335  0.482323  0.156375    191.846106  2018-03-02 2020-03-01 2020-03-02 2021-03-01
2  -0.222948  0.289821 -0.769261  0.476712  0.158683    189.056666  2018-05-01 2020-04-30 2020-05-01 2021-04-30
3   0.332823  0.311574  1.068198  0.534247  0.170847    175.596072  2018-06-30 2020-06-29 2020-06-30 2021-06-29
4   0.076499  0.318935  0.239856  0.531507  0.199730    150.202428  2018-08-29 2020-08-28 2020-08-29 2021-08-28
5   0.988429  0.397408  2.487186  0.542466  0.214354    139.955273  2018-10-28 2020-10-27 2020-10-28 2021-10-27
6   0.570282  0.540478  1.055145  0.547945  0.275184    109.018017  2018-12-27 2020-12-26 2020-12-27 2021-12-26
7   0.037440  0.250887  0.149232  0.515068  0.204447    146.737571  2019-02-25 2021-02-24 2021-02-25 2022-02-24
